strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Switzerland/SO-ETHZ-540921/2020	2021-03-13	7.00	20I (Alpha, V1)	Switzerland		Solothurn	20I (Alpha, V1)	202110	OU189433	Homo sapiens	0.70	B.1.1.7	Older	Europe		? P		Department of Biosystems Science and Engineering, ETH Zürich,Mattenstrasse 26, 4058 Basel, Switzerland	ETH ZURICH D-BSSE	
OU165044	2021-04-14	6.00	20I (Alpha, V1)	Germany		Saarland	20I (Alpha, V1)	202115	OU165044	Homo sapiens	0.71	B.1.1.7	Older	Europe		? B		Sonic - Bioscientia - MVZ Labor Saar GmbH, Otto-Kaiser-StraÃŸe 8a; 66386 St. Ingbert	Robert Koch Institute	
Gorillagorillagorilla/CZE/5145-2/2021	2021-03-17	6.00	20I (Alpha, V1)	Czech Republic		Czech Republic	20I (Alpha, V1)	202111	OL752443	Gorilla gorilla gorilla	0.71	B.1.1.7	Older	Europe		Nagy et al A				
OU323830	2021-06-04	7.00	20I (Alpha, V1)	Germany		Bavaria	20I (Alpha, V1)	202122	OU323830	Homo sapiens	0.71	B.1.1.7	Older	Europe		? B		Medizinisch-Diagnostisches Labor Kempten allgäulab, Augartenweg 20; 87435 Kempten	Robert Koch Institute	
AUT/SKV-171/2021	2021-05-17	6.00	20I (Alpha, V1)	Austria		Upper Austria	20I (Alpha, V1)	202120	OL546829	Homo sapiens	0.70	B.1.1.7	Older	Europe		Puehringer et al C				
OU475078	2021-03-30	6.00	20I (Alpha, V1)	Slovakia		Slovakia	20I (Alpha, V1)	202113	OU475078	Homo sapiens	0.71	B.1.1.7	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
AUT/SKV-181/2021	2021-05-12	6.00	20I (Alpha, V1)	Austria		Upper Austria	20I (Alpha, V1)	202119	OL546785	Homo sapiens	0.70	B.1.1.7	Older	Europe		Puehringer et al D				
AUT/SKV-177/2021	2021-05-15	6.00	20I (Alpha, V1)	Austria		Upper Austria	20I (Alpha, V1)	202119	OL546834	Homo sapiens	0.70	B.1.1.7	Older	Europe		Puehringer et al E				
OU073845	2021-02-11	6.00	20I (Alpha, V1)	Germany		Bavaria	20I (Alpha, V1)	202106	OU073845	Homo sapiens	0.68	B.1.1.7	Older	Europe		? B		SYNLAB MVZ Weiden, 92637 Weiden in der Oberpfalz	Robert Koch Institute	
Pantheraleopersica/CZE/3855-1/2021	2021-02-25	6.00	20I (Alpha, V1)	Czech Republic		Czech Republic	20I (Alpha, V1)	202108	OL752444	Panthera leo persica	0.71	B.1.1.7	Older	Europe		Nagy et al B				
OU475716	2021-05-17	6.00	20I (Alpha, V1)	Slovakia		Slovakia	20I (Alpha, V1)	202120	OU475716	Homo sapiens	0.71	B.1.1.7	Older	Europe		? Q		Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	
KEN/SS4229/2021	2021-11-26	12.00	20I (Alpha, V1)	Kenya	0.00	Kenya	20I (Alpha, V1)	202147	OM141401	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al K				-5.61
KEN/SS3765/2021	2021-09-23	10.00	20I (Alpha, V1)	Kenya		Kenya	20I (Alpha, V1)	202138	OL913334	Homo sapiens	0.74	B.1.1.7	One month ago	Africa		Githinji et al L				
KEN/SS4004/2021	2021-10-07	12.00	20I (Alpha, V1)	Kenya		Kenya	20I (Alpha, V1)	202140	OL691288	Homo sapiens	0.79	B.1.1.7	Older	Africa		Githinji et al M				
NGA/BCVL-25699/2021	2021-04-19	7.00	20I (Alpha, V1)	Nigeria		Oyo State	20I (Alpha, V1)	202116	OL601856	Homo sapiens	0.80	B.1.1.7	Older	Africa		Lorenzo-Redondo et al C				
NZL/21MV0156/2021	2021-03-04	6.00	20I (Alpha, V1)	New Zealand		New Zealand	20I (Alpha, V1)	202109	OK433697	Homo sapiens	0.78	B.1.1.7	Older	Oceania		Ren et al BE		LabPLUS	Institute of Environmental Science and Research	
USA/OK-CDC-ASC210057271/2021	2021-04-12	6.00	20I (Alpha, V1)	USA		Oklahoma	20I (Alpha, V1)	202115	MZ212864	Homo sapiens	0.78	B.1.1.7	Older	North America		Howard et al P				
USA/ID-CDC-MMB09007021/2021	2021-05-31	6.00	20I (Alpha, V1)	USA		Idaho	20I (Alpha, V1)	202122	MZ432666	Homo sapiens	0.74	B.1.1.7	Older	North America		Howard et al Q				
USA/NV-CDC-LC0059498/2021	2021-05-10	6.00	20I (Alpha, V1)	USA		Nevada	20I (Alpha, V1)	202119	MZ254580	Homo sapiens	0.73	B.1.1.7	Older	North America		Howard et al R				
BGD/GC001/2021	2021-01-31	7.00	20I (Alpha, V1)	Bangladesh		Bangladesh	20I (Alpha, V1)	202105	MW624725	Homo sapiens	0.75	B.1.1.7	Older	Asia		Mazumder et al				
GHA/WACCBIP_nCoV_GS163/2021	2021-01-06	6.00	20I (Alpha, V1)	Ghana		Ghana	20I (Alpha, V1)	202101	MW571171	Homo sapiens	0.73	B.1.1.7	Older	Africa		Morang'a et al				
GHA/nmimr-SARS-CoV-2-NTRA-15392/2020	2020-12-27	6.00	20I (Alpha, V1)	Ghana		Ghana	20I (Alpha, V1)	202053	MW662166	Homo sapiens	0.74	B.1.1.7	Older	Africa		Adu et al B				
TGO/nmimr-TG-SARS-CoV-2-TGS-024-21/2021	2021-01-15	6.00	20I (Alpha, V1)	Togo		Togo	20I (Alpha, V1)	202102	MZ149970	Homo sapiens	0.74	B.1.1.7	Older	Africa		Halatoko et al C				
USA/OK-CDC-LC0039703/2021	2021-03-29	7.00	20I (Alpha, V1)	USA		Oklahoma	20I (Alpha, V1)	202113	MZ003745	Homo sapiens	0.74	Q.8	Older	North America		Howard et al S				
GHA/nmimr-SARS-CoV-2-NTRA-21-20217/2021	2021-02-02	6.00	20I (Alpha, V1)	Ghana		Ghana	20I (Alpha, V1)	202105	MZ150546	Homo sapiens	0.75	B.1.1.7	Older	Africa		Adu et al C				
KEN/SS4086/2021	2021-10-05	6.00	20I (Alpha, V1)	Kenya		Kenya	20I (Alpha, V1)	202140	OL739862	Homo sapiens	0.76	B.1.1.7	Older	Africa		Githinji et al N				
USA/PR-CDC-ASC210065937/2021	2021-05-20	6.00	20I (Alpha, V1)	USA		Puerto Rico	20I (Alpha, V1)	202120	MZ320676	Homo sapiens	0.74	B.1.1.7	Older	North America		Howard et al T				
USA/AL-CDC-ASC210066431/2021	2021-05-25	6.00	20I (Alpha, V1)	USA		Alabama	20I (Alpha, V1)	202121	MZ376152	Homo sapiens	0.73	B.1.1.7	Older	North America		Howard et al U				
NGA/BCVL-23131/2021	2021-02-08	6.00	20I (Alpha, V1)	Nigeria		Oyo State	20I (Alpha, V1)	202106	OL601763	Homo sapiens	0.78	B.1.1.7	Older	Africa		Lorenzo-Redondo et al D				
USA/MI-CDC-ASC210061193/2021	2021-05-08	6.00	20I (Alpha, V1)	USA		Michigan	20I (Alpha, V1)	202118	MZ244388	Homo sapiens	0.77	B.1.1.7	Older	North America		Howard et al V				
NGA/BCVL-24772/2021	2021-03-04	6.00	20I (Alpha, V1)	Nigeria		Oyo State	20I (Alpha, V1)	202109	OL601847	Homo sapiens	0.76	B.1.1.7	Older	Africa		Lorenzo-Redondo et al E				
USA/AL-CDC-LC0079354/2021	2021-06-16	6.00	20I (Alpha, V1)	USA		Alabama	20I (Alpha, V1)	202124	MZ531061	Homo sapiens	0.96	B.1.1.7	Older	North America		Howard et al W		Laboratory Corporation of America	CDC-OAMD	
NGA/BCVL-18292/2021	2021-01-02	6.00	20I (Alpha, V1)	Nigeria		Oyo State	20I (Alpha, V1)	202053	OL601574	Homo sapiens	0.74	B.1.1.7	Older	Africa		Lorenzo-Redondo et al F				
USA/RI-CDC-2-4611952/2021	2021-06-22	6.00	20I (Alpha, V1)	USA		Rhode Island	20I (Alpha, V1)	202125	MZ780932	Homo sapiens	0.75	B.1.1.7	Older	North America		Sheth et al J				
USA/WI-CDC-LC0061397/2021	2021-05-15	6.00	20I (Alpha, V1)	USA		Wisconsin	20I (Alpha, V1)	202119	MZ307962	Homo sapiens	0.74	B.1.1.7	Older	North America		Howard et al X				
USA/NE-CDC-ASC210037732/2021	2021-05-01	6.00	20I (Alpha, V1)	USA		Nebraska	20I (Alpha, V1)	202117	MZ282524	Homo sapiens	0.72	B.1.1.7	Older	North America		Howard et al Y				
USA/ND-CDC-IBX684703530447/2021	2021-05-15	6.00	20I (Alpha, V1)	USA		North Dakota	20I (Alpha, V1)	202119	MZ316722	Homo sapiens	0.70	B.1.1.7	Older	North America		Howard et al Z				
USA/OK-CDC-ASC210046988/2021	2021-04-05	7.00	20I (Alpha, V1)	USA		Oklahoma	20I (Alpha, V1)	202114	MZ083103	Homo sapiens	0.73	B.1.1.7	Older	North America		Howard et al AA				
USA/LA-CDC-2-4012855/2021	2021-03-02	6.00	20I (Alpha, V1)	USA		Louisiana	20I (Alpha, V1)	202109	MW849849	Homo sapiens	0.74	B.1.1.7	Older	North America		Sheth et al K				
USA/MD-CDC-LC0017287/2021	2021-02-15	6.00	20I (Alpha, V1)	USA		Maryland	20I (Alpha, V1)	202107	MW773739	Homo sapiens	0.74	B.1.1.7	Older	North America		Cook et al H				
USA/TX-CDC-QDX23654702/2021	2021-04-06	6.00	20I (Alpha, V1)	USA		Texas	20I (Alpha, V1)	202114	MW988627	Homo sapiens	0.80	B.1.1.7	Older	North America		Howard et al AB				
USA/MN-CDC-IBX047241426097/2021	2021-06-01	6.00	20I (Alpha, V1)	USA		Minnesota	20I (Alpha, V1)	202122	MZ415358	Homo sapiens	0.74	B.1.1.7	Older	North America		Howard et al AC				
USA/IN-CDC-STM-000073156/2021	2021-05-10	6.00	20I (Alpha, V1)	USA		Indiana	20I (Alpha, V1)	202119	MZ415732	Homo sapiens	0.75	B.1.1.7	Older	North America		Howard et al AD				
USA/WY-CDC-2-4122609/2021	2021-03-25	6.00	20I (Alpha, V1)	USA		Wyoming	20I (Alpha, V1)	202112	MZ780098	Homo sapiens	0.74	B.1.1.7	Older	North America		Sheth et al L				
USA/NE-CDC-ASC210062791/2021	2021-05-12	6.00	20I (Alpha, V1)	USA		Nebraska	20I (Alpha, V1)	202119	MZ316552	Homo sapiens	0.74	B.1.1.7	Older	North America		Howard et al AE				
ARM/UW-ARM28/2020	2020-08-20	1.00	20B	Armenia		Armenia	20B	202034	MZ230701	Homo sapiens	0.33	B.1.1	Older	Asia		Roychoudhury et al D				
RUS/4460/2020	2020-12-01	2.00	20B	Russia		Primorsky	20B	202049	MZ544367	Homo sapiens	0.34	B.1.1.277	Older	Europe		Shchelkanov et al				
RUS/SPb-117/2021	2021-01-22	6.00	20B	Russia		Russia	20B	202103	MW750605	Homo sapiens	0.61	AT.1	Older	Europe		Gladkikh et al				
USA/CA-CDC-FG-027651/2021	2021-04-24	3.00	20B	USA		California	20B	202116	MZ077556	Homo sapiens	0.69	B.1.1.519	Older	North America		Howard et al AF				
USA/CA-CDC-STM-000011214/2021	2021-02-09	3.00	20B	USA		California	20B	202106	MW673176	Homo sapiens	0.60	B.1.1.519	Older	North America		Cook et al I				
USA/VA-CDC-LC0034332/2021	2021-03-13	3.00	20B	USA		Virginia	20B	202110	MW903289	Homo sapiens	0.61	B.1.1.519	Older	North America		Howard et al AG				
USA/AK-PHL7759/2021	2021-03-25	3.00	20B	USA		Alaska	20B	202112	MZ246416	Homo sapiens	0.60	B.1.1.519	Older	North America		DeRonde et al B				
USA/MT-CDC-ASC210026315/2021	2021-03-29	3.00	20B	USA		Montana	20B	202113	MZ024159	Homo sapiens	0.59	B.1.1.519	Older	North America		Howard et al AH				
AUT/SKV-290/2021	2021-12-06	17.00	20B	Austria	0.00	Upper Austria	20B	202149	OM019070	Homo sapiens	0.96	BA.1	One week ago	Europe		Puehringer et al F				15.38
BHR/21342839577_S76_L001/2021	2021-12-15	17.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083894	Homo sapiens	0.76	BA.1	One week ago	Asia		Alwasti et al E				15.44
BHR/730342549_S87_L001/2021	2021-12-15	18.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083966	Homo sapiens	0.82	B.1.1.529	One week ago	Asia		Alwasti et al F				15.40
USA/MS-MSPHL-0708/2021	2021-12-16	17.00	21M (Omicron)	USA	0.00	Mississippi	B.1.1.529 (Omicron)	202150	OM038376	Homo sapiens	0.76	B.1.1.529	One week ago	North America		Karolewicz et al		MS PHL	Mississippi Public Health Lab	15.40
OV213879	2021-12-03	16.00	21M (Omicron)	Slovakia	0.00	Slovakia	B.1.1.529 (Omicron)	202148	OV213879	Homo sapiens	0.72	BA.1	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Public Health Authority of the Slovak Republic	15.40
OV213697	2021-12-03	16.00	21M (Omicron)	Slovakia	0.00	Slovakia	B.1.1.529 (Omicron)	202148	OV213697	Homo sapiens	0.72	BA.1	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Public Health Authority of the Slovak Republic	15.40
OV214623	2021-12-04	16.00	21M (Omicron)	Slovakia	0.00	Slovakia	B.1.1.529 (Omicron)	202148	OV214623	Homo sapiens	0.72	BA.1	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Public Health Authority of the Slovak Republic	15.40
KEN/SS4176/2021	2021-11-26	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202147	OL913068	Homo sapiens	0.73	B.1.1.529	One month ago	Africa		Githinji et al O				15.55
KEN/SS4620/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141363	Homo sapiens	0.63		3-7 days ago	Africa		Githinji et al P				15.66
KEN/SS4408/2021	2021-12-08	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141170	Homo sapiens	0.70		3-7 days ago	Africa		Githinji et al Q				15.66
KEN/SS4499/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141256	Homo sapiens	0.64		3-7 days ago	Africa		Githinji et al R				15.66
KEN/SS4384/2021	2021-11-27	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202147	OM141147	Homo sapiens	0.64		3-7 days ago	Africa		Githinji et al S				15.66
KEN/SS4382/2021	2021-11-28	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202148	OM141145	Homo sapiens	0.66		3-7 days ago	Africa		Githinji et al T				15.66
KEN/SS4466/2021	2021-12-12	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141224	Homo sapiens	0.64		3-7 days ago	Africa		Githinji et al U				15.66
KEN/SS4175/2021	2021-11-26	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202147	OL913067	Homo sapiens	0.65	BA.1	One month ago	Africa		Githinji et al V				15.66
KEN/SS4179/2021	2021-11-27	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202147	OL913053	Homo sapiens	0.65	BA.1	One month ago	Africa		Githinji et al W				15.66
KEN/SS4588/2021	2021-12-15	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141332	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al X				16.12
KEN/SS4510/2021	2021-12-14	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141267	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al Y				16.12
KEN/SS4511/2021	2021-12-14	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141268	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al Z				16.12
KEN/SS4528/2021	2021-12-13	17.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141284	Homo sapiens	0.81		3-7 days ago	Africa		Githinji et al AA				16.12
KEN/SS4593/2021	2021-12-15	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141337	Homo sapiens	0.82		3-7 days ago	Africa		Githinji et al AB				16.12
KEN/SS4537/2021	2021-12-13	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141293	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al AC				16.12
KEN/SS4407/2021	2021-12-08	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141169	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al AD				16.12
KEN/SS4549/2021	2021-12-13	19.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141305	Homo sapiens	0.78		3-7 days ago	Africa		Githinji et al AE				16.12
KEN/SS4605/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141349	Homo sapiens	0.75		3-7 days ago	Africa		Githinji et al AF				16.12
KEN/SS4174/2021	2021-11-26	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202147	OL913066	Homo sapiens	0.75	BA.1	One month ago	Africa		Githinji et al AG				16.12
KEN/SS4926/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141476	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AH				16.12
KEN/SS4627/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141369	Homo sapiens	0.77		3-7 days ago	Africa		Githinji et al AI				16.12
KEN/SS4434/2021	2021-12-11	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141195	Homo sapiens	0.77		3-7 days ago	Africa		Githinji et al AJ				16.12
KEN/SS4546/2021	2021-12-13	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141302	Homo sapiens	0.77		3-7 days ago	Africa		Githinji et al AK				16.12
KEN/SS4216/2021	2021-12-06	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OL913079	Homo sapiens	0.75	BA.1	One month ago	Africa		Githinji et al AL				16.12
KEN/SS4450/2021	2021-12-11	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141209	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AM				16.12
KEN/SS4554/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141309	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AN				16.12
KEN/SS4560/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141315	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AO				16.12
KEN/SS4490/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141247	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AP				16.12
KEN/SS4492/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141249	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AQ				16.12
KEN/SS4545/2021	2021-12-13	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141301	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AR				16.12
KEN/SS4536/2021	2021-12-13	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141292	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AS				16.12
KEN/SS4633/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141373	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AT				16.12
KEN/SS4548/2021	2021-12-13	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141304	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AU				16.12
KEN/SS4590/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141334	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AV				16.12
KEN/SS4353/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141441	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AW				16.12
KEN/SS4606/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141350	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AX				16.12
KEN/SS4610/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141353	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AY				16.12
KEN/SS4513/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141270	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al AZ				16.12
KEN/SS4337/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141429	Homo sapiens	0.75		3-7 days ago	Africa		Githinji et al BA				16.12
KEN/SS4440/2021	2021-12-11	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141201	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al BB				16.12
KEN/SS4433/2021	2021-12-11	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141194	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al BC				16.12
KEN/SS4332/2021	2021-12-14	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141424	Homo sapiens	0.75		3-7 days ago	Africa		Githinji et al BD				16.12
KEN/SS4376/2021	2021-12-15	18.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202150	OM141456	Homo sapiens	0.74		3-7 days ago	Africa		Githinji et al BE				16.12
KEN/SS4441/2021	2021-12-11	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141202	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al BF				16.53
KEN/SS4438/2021	2021-12-11	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141199	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al BG				16.53
KEN/SS4394/2021	2021-12-06	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202149	OM141156	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al BH				16.53
KEN/SS4386/2021	2021-11-30	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202148	OM141149	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al BI				16.80
KEN/SS4385/2021	2021-11-30	20.00	21M (Omicron)	Kenya	0.00	Kenya	B.1.1.529 (Omicron)	202148	OM141148	Homo sapiens	0.80		3-7 days ago	Africa		Githinji et al BJ				16.80
BHR/21120016543_S81_L001/2021	2021-12-08	27.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202149	OM067048	Homo sapiens	0.88	BA.1	One week ago	Asia		Alwasti et al G				17.18
Switzerland/ZH-UZH-IMV-3ba583df/2021	2021-12-07	27.00	21M (Omicron)	Switzerland	0.00	Zürich	B.1.1.529 (Omicron)	202149	OV311815	Homo sapiens	0.88	BA.1	3-7 days ago	Europe		? R		UniversitätsSpital Zürich, Zürich, Switzerland	Institute of Medical Virology, Zürich, Switzerland	17.18
BHR/21120042034_S39_L001/2021	2021-12-15	26.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083940	Homo sapiens	0.89	BA.1	One week ago	Asia		Alwasti et al H				17.44
BHR/21922101254_S56_L001/2021	2021-12-15	27.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083926	Homo sapiens	0.93	BA.1	One week ago	Asia		Alwasti et al I				17.44
BHR/21342838268_S4_L001/2021	2021-12-15	28.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083886	Homo sapiens	0.92	BA.1	One week ago	Asia		Alwasti et al J				17.44
BHR/21922099857_S5_L001/2021	2021-12-15	27.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083923	Homo sapiens	0.83	BA.1	One week ago	Asia		Alwasti et al K				17.44
BHR/21342836375_S43_L001/2021	2021-12-15	26.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083882	Homo sapiens	0.83	BA.1	One week ago	Asia		Alwasti et al L				17.44
BHR/21922104935_S68_L001/2021	2021-12-15	26.00	21M (Omicron)	Bahrain	0.00	Bahrain	B.1.1.529 (Omicron)	202150	OM083935	Homo sapiens	0.83	BA.1	One week ago	Asia		Alwasti et al M				17.44
USA/SC-CDC-ASC210566449/2021	2021-12-23	27.00	21M (Omicron)	USA	0.01	South Carolina	B.1.1.529 (Omicron)	202151	OM174063	Homo sapiens	0.95		1-2 days ago	North America		Howard et al AI				17.44
USA/OSPHL03658/2021	2021-12-21	27.00	21M (Omicron)	USA	0.00	Oregon	B.1.1.529 (Omicron)	202151	OM146531	Homo sapiens	0.83		3-7 days ago	North America		Razzaque et al A				17.44
USA/PR-CDC-ASC210537323/2021	2021-12-15	28.00	21M (Omicron)	USA	0.00	Puerto Rico	B.1.1.529 (Omicron)	202150	OM051492	Homo sapiens	0.93	BA.1	One week ago	North America		Howard et al AJ		Aegis Sciences Corporation	CDC-OAMD	17.44
USA/OH-CDC-ASC210631002/2021	2021-12-20	27.00	21M (Omicron)	USA	0.00	Ohio	B.1.1.529 (Omicron)	202151	OM099560	Homo sapiens	0.88	BA.1	3-7 days ago	North America		Howard et al AK		Aegis Sciences Corporation	CDC-OAMD	17.44
USA/LA-CDC-STM-T52QU5CYF/2021	2021-12-19	28.00	21M (Omicron)	USA	0.00	Louisiana	B.1.1.529 (Omicron)	202151	OM159558	Homo sapiens	0.92		3-7 days ago	North America		Howard et al AL				17.44
USA/PR-CDC-FG-204521/2021	2021-12-20	28.00	21M (Omicron)	USA	0.00	Puerto Rico	B.1.1.529 (Omicron)	202151	OM179106	Homo sapiens	0.92		1-2 days ago	North America		Howard et al AM				17.44
USA/DC-CDC-LC0442919/2021	2021-12-21	28.00	21M (Omicron)	USA	0.00	Washington DC	B.1.1.529 (Omicron)	202151	OM175378	Homo sapiens	0.92		1-2 days ago	North America		Howard et al AN				17.44
USA/NH-CDCBI-CRSP_YWPSSGG3YQ6PD7D7/2022	2022-01-02	28.00	21M (Omicron)	USA	0.01	New Hampshire	B.1.1.529 (Omicron)	202201	OM187562	Homo sapiens	0.92		New	North America		Lemieux et al F				17.44
